Source system,Field name,Source copybook field label,RDA API field label,Category,Copybook data dictionary name (if different),Source system definition,Plain language definition,Additional context ,Enum Y/N,Source system field types and values according to their documentation,Copybook source,Version added,CCLF Mapping,CCW Mapping ,837 Mapping ,FISS <> MCS Mapping,Open questions 
MCS,Deductible,IDR-DEDUCTIBLE,mcs_claims.idr_deductible,Billing information,DEDUCTIBLE,The portion of the final charge allowed on a claim that is used to satisfy the amount of Part B Medicare cash deductible remaining.,,,,$$$.¢¢ or: $$$$$.¢¢,H99YBID1,0.2,,,,,
MCS,Detail Segment Count,IDR-DTL-CNT,mcs_claims.idr_dtl_cnt,Claim information,DTL-CNT,This field contains the count of detail segments for a pending or paid history claim record. Also see specification S2816010.,,,,"2 characters, numeric",H99YBID1,0.2,,,,,
MCS,Non-covered Audit Number,IDR-HDR-AUDIT,mcs_claims.idr_hdr_audit,Claim processing,HDR-AUDIT,This field carries the primary SCC audit number encounter as the claim was processed.,,,,"Numeric, 3 characters",H99YBID1,0.5,,,,,
MCS,Audit Indicator,IDR-HDR-AUDIT-IND,mcs_claims.idr_hdr_audit_ind,Claim processing,HDR-AUDIT-IND,"The value in this field indicates if the number displayed in the INT-HDR-AUDIT field is a header edit, detail edit, or an audit.",,,,"Alphanumeric, 1 character

A = Audit number
D = Detail edit number
H = Header edit number
Space = IDR-HDR-AUDIT is zeroes ",H99YBID1,0.5,,,,,
MCS,Header From Date of Service,IDR-HDR-FROM-DOS,mcs_claims.idr_hdr_from_dos,Claim information,HDR-FROM-DOS,"For claims that have suspended from the batch cycle for manual review, this field carries the earliest from-date-of-service on the claim.",,,,,H99YBID1,0.3,,,,,
MCS,Header To Date of Service,IDR-HDR-TO-DOS,mcs_claims.idr_hdr_to_dos,Claim information,HDR-TO-DOS,"For claims that have suspended from the batch cycle for manual review, this field carries the latest to-date-of-service on the claim.",,,,,H99YBID1,0.3,,,,,
MCS,Health Insurance Claim Number,IDR-HIC,mcs_claims.idr_hic,Beneficiary information,HIC,"This field identifies the patient/beneficiary number associated with a claim record, which is assigned to the beneficiary by the Centers for Medicare and Medicaid Services (CMS), and may be used to access data for the record depending on the copybook it is used in.",,"Per the S145000 specification, this field will display spaces if the MBI is submitted and the HICN is not found.",N,"12 characters, alphanumeric",H99YBID1,0.2,,,,FISS = HIC-NO,
MCS,Facility Provider National Provider Identifier (NPI),IDR-J-FAC-PROV-NPI,mcs_claims.idr_j_fac_prov_npi,Provider information,J-FAC-PROV-NPI,"This field carries the National Provider Identifier (NPI) number of the facility or laboratory where services were performed, if applicable.",,,,"Alphanumeric, 10 characters",H99YBID1,0.5,,,,,
MCS,Referring Provider’s National Provider Identifier (NPI),IDR-J-REFERRING-PROV-NPI,mcs_claims.idr_j_referring_prov_npi,Provider information,J-REFERRING-PROV-NPI,This field carries the referring or ordering provider’s National Provider Identifier (NPI) number.,,,,"Alphanumeric, 10 characters",H99YBID1,0.5,,,,,
MCS,Status Code,IDR-STATUS-CODE,mcs_claims.idr_status_code,Claim processing,STATUS-CODE,"For the H99YB338, H99MB338, and H99YBID1 files, this field contains current status information for the pending and paid claims currently in the system. Pending and paid claims information is updated during each processing cycle with current status information. This information is accessible online, providing the Medicare Contractor with the most recent status available for each claim ICN or correspondence CCN.",,Phase I files will contain a space. ,,"1 character, alphanumeric
See Status Codes table in tab C. ",H99YBID1,0.2,,,,,
MCS,Status Date,IDR-STATUS-DATE,mcs_claims.idr_status_date,Claim processing,STATUS-DATE,The claim status/paid date is the last date on which activity against this claim occurred the date that this claim was placed in the current status.,,"From S1450000
The status date will always report even though pending claims will contain a space in the Status Code field.",,"8 characters, numeric
Format: YYYYMMDD",H99YBID1,0.2,,,,,
MCS,Total Allowed Amount,IDR-TOT-ALLOWED,mcs_claims.idr_tot_allowed,Billing information,TOT-ALLOWED,"This field documents the total amount allowed by Medicare for all of the submitted charges on a particular claim. Allowed charges can be system generated from fee databases, reasonable charge screens, or manual entry.",,,,$$$$$.¢¢,H99YBID1,0.2,,,,,
MCS,Total Billed Amount,IDR-TOT-BILLED-AMT,mcs_claims.idr_tot_billed_amt,Billing information,TOT-BILLED-AMT,This field contains the total amount of all charges submitted by the provider on a given claim. The total charge submitted must equal the sum of the charges submitted for each line item. It must not be less than the paid by beneficiary amount.,,,,"Format: $$$$$.¢¢
Numeric packed decimal, signed.",H99YBID1,0.2,,,,FISS = TOTAL-CHARGE-AMOUNT,Would a 0 value in this field mean that no information is available or that there is nothing to be billed?
MCS,Demonstration National Provider Identifier (NPI),IDR-U-DEMO-PROV-NPI,mcs_claims.idr_u_demo_prov_npi,Provider information,U-DEMO-PROV-NPI,"For certain demonstration projects, this field carries the demonstration provider’s National Provider Identifier (NPI) number from the census file. The field is filled based on SCF records.",,,,"Alphanumeric, 10 characters",H99YBID1,0.5,,,,,
MCS,Billing Provider NPI Number,IDR-U-FCADJ-BIL-NPI,mcs_claims.idr_u_fcadj_bil_npi,Provider information,U-FCADJ-BIL-NPI,This segment of data carries the National Provider Identification (NPI) number for the billing provider.,,,,"Alphanumeric, 10 characters",H99YBID1,0.5,,,,,
MCS,Split Reason Code,IDR-U-SPLIT-REASON,mcs_claims.idr_u_split_reason,Claim processing,U-SPLIT-REASON,The split reason code is used to indicate that the claim has been separated for processing either for a mandated split situation or replicated for internal processing situations. This indicator is at the claim level,,,,"Alphanumeric, 1 character

See Split Reason codes in tab C. ",H99YBID1,0.5,,,,,
MCS,Supervising Physician National Provider Identifier (NPI),IDR-U-SUPER-NPI,mcs_claims.idr_u_super_npi,Provider information,U-SUPER-NPI,This field carries the supervising provider’s National Provider Identifier (NPI) number.,,,,"Alphanumeric, 10 characters",H99YBID1,0.5,,,,,
MCS,Ambulance Drop-off First Address Line,IDR-DTL-AMB-DROPOFF-ADDR-LINE1,mcs_details.idr_dtl_amb_dropoff_addr_line1,Service information,AMB-DROPOFF-ADDR-LINE1,This field contains the ambulance drop-off first address line.,,,,"Alphanumeric, 25 char",H99YBID1,0.5,,,,,
MCS,Ambulance Drop-off Second Address Line,IDR-DTL-AMB-DROPOFF-ADDR-LINE2,mcs_details.idr_dtl_amb_dropoff_addr_line2,Service information,AMB-DROPOFF-ADDR-LINE2,This field contains the ambulance drop-off second address line.,,,,"Alphanumeric, 20 char",H99YBID1,0.5,,,,,
MCS,Ambulance Drop-off City,IDR-DTL-AMB-DROPOFF-CITY,mcs_details.idr_dtl_amb_dropoff_city,Service information,AMB-DROPOFF-CITY,This field contains the ambulance drop-off location's city.,,,,"Alphanumeric, 20 char",H99YBID1,0.5,,,,,
MCS,Ambulance Drop-off Location Name,IDR-DTL-AMB-DROPOFF-NAME,mcs_details.idr_dtl_amb_dropoff_name,Service information,AMB-DROPOFF-NAME,This field contains the name of the ambulance drop-off location.,,,,"Alphanumeric, 24 char",H99YBID1,0.5,,,,,
MCS,Ambulance Drop-off State,IDR-DTL-AMB-DROPOFF-STATE,mcs_details.idr_dtl_amb_dropoff_state,Service information,AMB-DROPOFF-STATE,This field contains the ambulance drop-off location's State code.,,,,"Alphanumeric, 2 char",H99YBID1,0.5,,,,,
MCS,Ambulance Drop-off Location ZIP Code,IDR-DTL-AMB-DROPOFF-ZIPCODE,mcs_details.idr_dtl_amb_dropoff_zipcode,Service information,AMB-DROPOFF-ZIPCODE,This field contains the ambulance drop-off location's zip code.,,,,"Alphanumeric, 9 char",H99YBID1,0.5,,,,,
MCS,Ambulance Pick Up Address - First Line,IDR-DTL-AMB-PICKUP-ADDRES-LINE1,mcs_details.idr_dtl_amb_pickup_addres_line1,Service information,AMB-PICKUP-ADDRES-LINE1,This field contains the first line of the address for the ambulance pick up location.,,,,"Alphanumeric, 25 char",H99YBID1,0.5,,,,,
MCS,Ambulance Pick Up Address - Second Line,IDR-DTL-AMB-PICKUP-ADDRES-LINE2,mcs_details.idr_dtl_amb_pickup_addres_line2,Service information,AMB-PICKUP-ADDRES-LINE2,This field contains the second line of the address for the ambulance pick up location.,,,,"Alphanumeric, 20 char",H99YBID1,0.5,,,,,
MCS,Ambulance Pick Up City,IDR-DTL-AMB-PICKUP-CITY,mcs_details.idr_dtl_amb_pickup_city,Service information,AMB-PICKUP-CITY,This field contains the ambulance pickup location's city.,,,,"Alphanumeric, 20 char",H99YBID1,0.5,,,,,
MCS,Ambulance Pick Up State,IDR-DTL-AMB-PICKUP-STATE,mcs_details.idr_dtl_amb_pickup_state,Service information,AMB-PICKUP-STATE,This field contains the ambulance pickup location's State code.,,,,"Alphanumeric, 2 char",H99YBID1,0.5,,,,,
MCS,Ambulance Pick Up ZIP Code,IDR-DTL-AMB-PICKUP-ZIPCODE,mcs_details.idr_dtl_amb_pickup_zipcode,Service information,AMB-PICKUP-ZIPCODE,This field contains the ambulance pickup location's zip code.,,,,"Alphanumeric, 9 char",H99YBID1,0.5,,,,,
MCS,Diagnosis ICD Type,IDR-DTL-DIAG-ICD-TYPE,mcs_details.idr_dtl_diag_icd_type,Service information,DTL-DIAG-ICD-TYPE,This field identifies diagnosis code as ICD 10 or ICD 9.,,,,"1 digit, alphanumeric",H99YBID2,0.2,,,,,
MCS,Starting Date of Service,IDR-DTL-FROM-DATE,mcs_details.idr_dtl_from_date,Service information,DTL-FROM-DATE,This field carries the date on which a particular service was first rendered.,,,,Date,H99YBID2,0.2,,,,,
MCS,Detail Number,IDR-DTL-NUMBER,mcs_details.idr_dtl_number,Service information,DTL-NUMBER,This field contains the sequence number of the detail record. Up to 50 detail records can be included.,,,,"2 digits, numeric
valid values 1 through 50",H99YBID2,0.2,,,,,"The current range of valid values is 1 to 50, not 51 or 52 as stated in some documentation. Source: https://confluenceent.cms.gov/display/MPSM/Questions+about+FISS+and+MCS+Claims"
MCS,Primary Detail Diagnosis Code,IDR-DTL-PRIMARY-DIAG-CODE,mcs_details.idr_dtl_primary_diag_code,Service information,DTL-PRIMARY-DIAG-CODE,This field carries the primary detail diagnosis code.,,,,"7 digits, alphanumeric",H99YBID2,0.2,,,,,
MCS,Rendering Provider’s National Provider Identifier (NPI),IDR-DTL-REND-NPI,mcs_details.idr_dtl_rend_npi,Provider information,DTL-REND-NPI,This field carries the rendering or ordering provider’s National Provider Identifier (NPI) number.,,,,"Alphanumeric, 10 characters

Any valid 10-character identification number.",H99YBID2,0.5,,,,,
MCS,Detail Rendering Provider Number,IDR-DTL-REND-PROV,mcs_details.idr_dtl_rend_prov,Provider information,DTL-REND-PROV,"This field is used to record a unique identification number assigned to each provider who renders or refers services to, or orders services for, a Medicare beneficiary.",,,,"Alphanumeric, 10 characters

Any valid 10-character provider number.",H99YBID2,0.5,,,,,
MCS,Detail Rendering Provider Specialty,IDR-DTL-REND-SPEC,mcs_details.idr_dtl_rend_spec,Provider information,DTL-REND-SPEC,The rendering provider specialty code is a two-character code that identifies the rendering provider's specialty.,,,,"Alphanumeric, 2 characters

Refer to Spec S0106010 for general input criteria information and a listing of the acceptable provider specialty codes.",H99YBID2,0.5,,,,,How do the values in the specification document relate to the values in the Medicare claims processing manual?
MCS,Detail Rendering Provider Type Code,IDR-DTL-REND-TYPE,mcs_details.idr_dtl_rend_type,Provider information,DTL-REND-TYPE,This field displays a two-number code that is associated with identifying the rendering provider's type code.,,,,"Alphanumeric, 2 characters

See the Provider Type table from MCS specification S0105010, copied in tab C for convenience. 
",H99YBID2,0.5,,,,,
MCS,Detail Status,IDR-DTL- STATUS,mcs_details.idr_dtl_status,Service information,DTL-STATUS,"The Multi-Carrier System contains current status information for all pending and paid claims currently in the system. Pending and paid claims information is updated during each processing cycle with current status information. This information is accessible on-line, providing the Medicare Contractor with the most recent status available for each claim ICN or correspondence CCN. The codes identify any adjustment or change to a line item.",,,,"1 digit, alphanumeric

See the Status Codes table from MCS specification S0209000, copied in tab C for convenience.",H99YBID1,0.2,,,,,
MCS,Ending Date of Service,IDR-DTL-TO-DATE,mcs_details.idr_dtl_to_date,Service information,DTL-TO-DATE,This field indicates the last date on which a particular service was rendered for a specific claim case.,,,,Date,H99YBID2,0.2,,,,,
MCS,Facility Provider National Provider Identifier (NPI),IDR-K-DTL-FAC-PROV-NPI,mcs_details.idr_k_dtl_fac_prov_npi,Provider information,FAC-PROV-NPI,"This field carries the National Provider Identifier (NPI) number of the facility or laboratory where services were performed, if applicable.",,,,"Alphanumeric, 10 characters",H99YBID2,0.5,,,,,
MCS,POS First Address Line,IDR-K-POS-ADDR1,mcs_details.idr_k_pos_addr1,Service information,POS-ADDR1,This field carries the POS first address line.,,,,"55 characters, alphanumeric",H99YBID2,0.2,,,,,
MCS,POS Second Address Line – First Part,IDR-K-POS-ADDR2-1ST,mcs_details.idr_k_pos_addr2_1st,Service information,POS-ADDR2-1ST,This field carries the first half of the POS second address line.,,,,"30 characters, alphanumeric",H99YBID2,0.2,,,,,
MCS,POS Second Address Line – First Part,IDR-KPOS-ADDR2-2ND,mcs_details.idr_k_pos_addr2_2nd,Service information,POS-ADDR2-2ND,This field carries the second half of the POS second address line.,,,,"25 characters, alphanumeric",H99YBID2,0.2,,,,,
MCS,POS City,IDR-K-POS-CITY,mcs_details.idr_k_pos_city,Service information,POS-CITY,This field carries the city portion of the POS address.,,,,"30 characters, alphanumeric",H99YBID2,0.2,,,,,
MCS,POS First Name,IDR-K-POS-FNAME,mcs_details.idr_k_pos_fname,Service information,POS-FNAME,This field carries the POS first name.,,,,"35 characters, alphanumeric",H99YBID2,0.2,,,,,
MCS,POS Last Name or Facility Name,IDR-K-POS-LNAME-ORG,mcs_details.idr_k_pos_lname_org,Service information,POS-LNAME-ORG,This field carries the POS last name.,,POS = place of service,,"60 characters, alphanumeric",H99YBID2,0.2,,,,,
MCS,POS Middle Name,IDR-K-POS-MNAME,mcs_details.idr_k_pos_mname,Service information,POS-MNAME,This field carries the POS middle name.,,,,"25 characters, alphanumeric",H99YBID2,0.2,,,,,
MCS,POS State,IDR-K-POS-STATE,mcs_details.idr_k_pos_state,Service information,POS-STATE,This field carries the state portion of the POS address.,,,,"2 characters, alphanumeric",H99YBID2,0.2,,,,,
MCS,POS Zip Code,IDR-K-POS-ZIP,mcs_details.idr_k_pos_zip,Service information,POS-ZIP,This field carries the zip code portion of the POS address.,,,,"15 characters, alphanumeric",H99YBID2,0.2,,,,,
MCS,Fourth Procedure Code Modifier,IDR-MOD-FOUR,mcs_details.idr_mod_four,Service information,MOD-FOUR,"This is the fourth procedure modifier. In addition to the normal pricing criteria, the system allows claims examiners to use modifier codes to further qualify billed procedures. In some cases, the modifier requires special handling for pricing the service; in other cases, the modifier is used for further documentation of the performed service.
The two types of modifiers, as referred to in the MCS, are statistical and pricing. There are two types of statistical modifiers. Some statistical modifiers are documentation modifiers and do not affect pricing although they may affect processing. Other statistical modifiers affect pricing by causing the established reasonable charge or fee to be modified in the same way every time. In both cases, statistical modifiers are not established on the procedure or pricing files as part of the procedure code key. On the other hand, pricing modifiers are considered by the system as part of the seven-digit procedure code key and are used for obtaining established reasonable charge or fee amounts. The reasonable charge or fee amounts for procedure codes with pricing modifiers are established independently of the same procedure without the modifier.
This field may contain multiple procedure code modifiers or spaces. A procedure code modifier will further define the procedure code as a unique and different service/supply.",,,,See Modifiers table in Tab C,H99YBID2,0.2,,,,,
MCS,First Procedure Code Modifier,IDR-MOD-ONE,mcs_details.idr_mod_one,Service information,MOD-ONE,"This is first procedure modifier. In addition to the normal pricing criteria, the system allows claims examiners to use modifier codes to further qualify billed procedures. In some cases, the modifier requires special handling for pricing the service; in other cases, the modifier is used for further documentation of the performed service.
The two types of modifiers, as referred to in the MCS, are statistical and pricing. There are two types of statistical modifiers. Some statistical modifiers are documentation modifiers and do not affect pricing although they may affect processing. Other statistical modifiers affect pricing by causing the established reasonable charge or fee to be modified in the same way every time. In both cases, statistical modifiers are not established on the procedure or pricing files as part of the procedure code key. On the other hand, pricing modifiers are considered by the system as part of the seven-digit procedure code key and are used for obtaining established reasonable charge or fee amounts. The reasonable charge or fee amounts for procedure codes with pricing modifiers are established independently of the same procedure without the modifier.
This field may contain multiple procedure code modifiers or spaces. A procedure code modifier will further define the procedure code as a unique and different service/supply.",,,,See Modifiers table in Tab C,H99YBID2,0.2,,,,,
MCS,Third Procedure Code Modifier,IDR-MOD-THREE,mcs_details.idr_mod_three,Service information,MOD-THREE,"This is the second procedure modifier. In addition to the normal pricing criteria, the system allows claims examiners to use modifier codes to further qualify billed procedures. In some cases, the modifier requires special handling for pricing the service; in other cases, the modifier is used for further documentation of the performed service.
The two types of modifiers, as referred to in the MCS, are statistical and pricing. There are two types of statistical modifiers. Some statistical modifiers are documentation modifiers and do not affect pricing although they may affect processing. Other statistical modifiers affect pricing by causing the established reasonable charge or fee to be modified in the same way every time. In both cases, statistical modifiers are not established on the procedure or pricing files as part of the procedure code key. On the other hand, pricing modifiers are considered by the system as part of the seven-digit procedure code key and are used for obtaining established reasonable charge or fee amounts. The reasonable charge or fee amounts for procedure codes with pricing modifiers are established independently of the same procedure without the modifier.
This field may contain multiple procedure code modifiers or spaces. A procedure code modifier will further define the procedure code as a unique and different service/supply.""",,,,See Modifiers table in Tab C,H99YBID1,0.2,,,,,
MCS,Second Procedure Code Modifier,IDR-MOD-TWO,mcs_details.idr_mod_two,Service information,MOD-TWO,"This is the second procedure modifier. In addition to the normal pricing criteria, the system allows claims examiners to use modifier codes to further qualify billed procedures. In some cases, the modifier requires special handling for pricing the service; in other cases, the modifier is used for further documentation of the performed service.
The two types of modifiers, as referred to in the MCS, are statistical and pricing. There are two types of statistical modifiers. Some statistical modifiers are documentation modifiers and do not affect pricing although they may affect processing. Other statistical modifiers affect pricing by causing the established reasonable charge or fee to be modified in the same way every time. In both cases, statistical modifiers are not established on the procedure or pricing files as part of the procedure code key. On the other hand, pricing modifiers are considered by the system as part of the seven-digit procedure code key and are used for obtaining established reasonable charge or fee amounts. The reasonable charge or fee amounts for procedure codes with pricing modifiers are established independently of the same procedure without the modifier.
This field may contain multiple procedure code modifiers or spaces. A procedure code modifier will further define the procedure code as a unique and different service/supply.",,,,See Modifiers table in Tab C,H99YBID1,0.2,,,,,
MCS,Procedure Code,IDR-PROC-CODE,mcs_details.idr_proc_code,Service information,PROC-CODE,This field carries the procedure code received from CWF in the 13-trailer.,,,,"5 characters, alphanumeric",H99YBID2,0.2,,,,,
MCS,Procedure Code - Type of Service,IDR-TOS,mcs_details.idr_tos,Service information,TOS,"TOS: This is a one-character code that identifies the type of service designated to a particular procedure code and modifier. This value may further define the procedure code/modifier combination allowing it to carry multiple definitions and allowed charge values.


Refer to Spec S0102010 and MCSBBV manual for general input criteria information and a listing of the acceptable entries.",,,,"Alphanumeric, 1 character",H99YBID2,0.5,,,,,
MCS,Place of Service - Second Position,IDR-TWO-DIGIT-POS,mcs_details.idr_two_digit_pos,Service information,TWO-DIGIT-POS,"TWO-DIGIT-POS: This is a CMS-defined, two-byte code that identifies where the service was rendered. On claims, the system uses the two-digit HCFA 1500 value. For SCC/procedure file maintenance, the system uses the one-digit value.",,,,"Alphanumeric, 2 characters

See Place of Service codes from MCS specification S0101010, copied in tab C for convenience. ",H99YBID2,0.5,,,,,
MCS,Location of diagnosis code,n/a,mcs_diagnosis_codes._j_diagnosis,Service information,n/a,True if the diagnosis came from the J-DIAG-3-12 table,,This field was created for RDA API,,boolean,H99YBID1,0.2,,,,,
MCS,Diagnosis Code - Primary and Secondary,IDR-DIAG-CODE,mcs_diagnosis_codes.idr_diag_code,Service information,DIAG-CODE,"For the H99YB338 and H99YBID1 copybooks, this is the number of the diagnosis code(s) used on the service for which that line item was performed. The primary and secondary fields denote the ICD-9 diagnosis codes in the Diagnosis fields numbers 1 and 2 of 4 (the first and second Diagnosis Codes listed by the provider), at the claim level.",,This field repeats up to 12 times for each diagnosis code.,,"7 digits, alphanumeric",H99YBID1,0.2,,,,,
MCS,Claim Diagnosis Code Qualifier,IDR-DIAG-ICD-TYPE,mcs_diagnosis_codes.idr_diag_icd_type,Service information,DIAG-ICD-TYPE,This field carries a claim diagnosis code qualifier.,,This field repeats up to 12 times for each diagnosis code.,,"1 character, alphanumeric
0 – ICD10
9 – ICD9",H99YBID1,0.2,,,,,
MCS,Location Activity Code,IDR-LOC-ACTV-CODE,mcs_locations.idr_loc_actv_code,Claim processing,LOC-ACTV-CODE,"This field carries a system-assigned activity code, indicating the activity performed on the pending claim record for the indicated location segment.",,In a table that occurs 11 times.,,"Alphanumeric, 1 character.

See Location Activity Codes table in tab C. ",H99YBID1,0.5,,,,,
MCS,Clerk ID,IDR-LOC-CLERK,mcs_locations.idr_loc_clerk,Claim processing,LOC-CLERK,This item is used to identify the operator who last updated the information on the location audit trailer.,,In a table that occurs 11 times.,,"Alphanumeric, 4 characters",H99YBID1,0.5,,,,,
MCS,Location Code,IDR-LOC-CODE,mcs_locations.idr_loc_code,Claim processing,LOC-CODE:,"This value represents the completion /pending status of a claim. Values, with assigned definitions, define the point at which a claim resides during the entire adjudication process.
Locations are used to control the path the claim will take through the system from the initial activation to finalization. The system automatically moves claims from one location to another during the batch cycle. A claim may also be manually transferred from one location to another.",,In a table that occurs 11 times.,,"Alphanumeric, 3 characters
Refer to Spec S0119010 for general input criteria information and a listing of the acceptable entries.",H99YBID1,0.5,,,,,
MCS,Location Date,IDR-LOC-DATE,mcs_locations.idr_loc_date,Claim processing,LOC-DATE,This field contains the date that the claim was in a specific location in the system (as noted in the related location field W-INT-LOC-CODE). There are 11 occurrences of this field on the claim history record. It provides the date for the audit trail of the locations that the claim has passed through during processing.,,In a table that occurs 11 times.,,Date,H99YBID1,0.5,,,,,
MCS,Detail Number,IDR-DTL-NUMBER,mcs_details.idr_dtl_number,Claim information,DTL-NUMBER,This field contains the sequence number of the detail record. Up to 52 detail records can be included.,,"Each MCS claim has a header and multiple ""detail"" records ",,Date,H99YBID2,0.8,,,,,
FISS,Claim Type Indicator,CLM-TYP-IND,fiss_claims.clm_typ_ind,Claim information,n/a,"This field identifies the type of claim, which is system generated.",,,,"1 character, alphanumeric

1 = Inpatient
2 = SNF (Skilled Nursing Facility)
3 = Outpatient
4 = Home-Health
5 = Hospice
6 = Part-B
A  = TOB-X20-X28
B = TOB-130-138",FSSCIDRC,0.12,,,,,
FISS,Group Code,GROUP-CODE,fiss_claims.group_code,Claim information,n/a,This field identifies the American National Standards Institute (ANSI) group code at the claim level.,,,,"2 characters, alphanumeric

CO = Group CO Contract Obligation
CR = Group CR Correction
OA = Group OA Other Adjustment
PR = Group PR Patient Responsibility ",FSSCIDRC,0.12,,,,,
FISS,Accountable Care Organization (ACO) Reduction Remittance Advice Remark Code,ACO-RED-RARC,fiss_revenue_lines.aco_red_rarc,Claim processing,n/a,"If the claim has a demonstration code equal to “59” (Pioneer ACO Demonstration) or “68” (Pioneer ACO SNF), and provided service is from an outpatient provider (TOB equal to 12, 13, 14, 22, 23, 34, 71, 72, 74, 75, 76, 77, 81, 82, 85) or the service is for home health Part B; this field will identify the Remittance Advice Remark Code (RARC) returned to the provider advising this decision and possible appeal rights.",,,,"5 characters, alphanumeric 

N83 = No appeal rights. Adjudicative decision based on the provisions of a demonstration project.",FSSCIDRC,0.12,,,,,
FISS,Pioneer Accountable Care Organization (ACO) Reduction CARC,ACO-RED-CARC,fiss_revenue_lines.aco_red_carc,Claim processing,n/a,"If the claim has a demonstration code equal to “59” (Pioneer ACO Demonstration) or “68” (Pioneer ACO SNF), and provided service is from an outpatient provider (TOB equal to 12, 13, 14, 22, 23, 34, 71, 72, 74, 75, 76, 77, 81, 82, 85) or the service is for home health Part B; this field will identify the applicable Claim Adjustment Reason Code (CARC) that defines why the service was paid differently than billed.",,,,"3, characters alphanumeric

132 = Prearranged demonstration project adjustment
Space = Not Applicable",FSRCCLXL,0.12,,,,,
FISS,Pioneer Accountable Care Organization (ACO) Reduction Group Code,ACO-RED-CAGC,fiss_revenue_lines.aco_red_cagc,Claim processing,n/a,"If the claim has a demonstration code equal to “59” (Pioneer ACO Demonstration) or “68” (Pioneer ACO SNF), and provided service is from an outpatient provider (TOB equal to 12, 13, 14, 22, 23, 34, 71, 72, 74, 75, 76, 77, 81, 82, 85) or the service is for home health Part B; this field will identify the applicable adjustment group code that defines the liability for adjustments in charges occurring from this payment reduction.",,,,"2 characters, alphanumeric

CO = Contractual Obligations – this group code should be used when a contractual agreement between the payer and payee, or a regulatory requirement, resulted in an adjustment.  Generally, these adjustments are considered a write-off for the provider and are not billed to the patient.
Space = Not Applicable",FSRCCLXL,0.12,,,,,
FISS,DRG,DRG-CD,fiss_claims.drg_cd,Claim processing,n/a,"This field identifies the diagnosis related group code assigned by the grouper program using the length of stay, covered days, sex, age, diagnosis, procedure codes, discharge date and total charges.",,,,"3 characters, alphanumeric

Demo 07 = Exceptions are for claims with a condition code of B1.
Demo 08 = All DRG codes are valid, except when one of the following DRGs are paid on a per diem basis: 14, 113, 209, 210, 211, 236, 264, 429, 483
104/105 = Cardiac Valve Procedure   
106/107, 109 = Heart Bypass Graft Surgery
112 = Angioplasty
124/125 = Cardiac Catheterization
209/471 = Hip and Knee Joint Replacement
469 = Major joint replacement or reattachment of lower extremity with Major Complications
470 = Major joint replacement or reattachment of lower extremity without Major Complications
",FSSCIDRC,0.12,,,,,
FISS,Non Billable Code,NON-BILL-REV-CODE,fiss_revenue_lines.non_bill_rev_code,Claim processing,n/a,This field identifies whether the revenue code and/or the HCPCS code are valid.,,,,"1 character, alphanumeric

E = End Stage Renal Disease (ESRD) attachment line items with zero allowed charges.
H = Invalid HCPCS code (system generated on EMC [Electronic Media Claims] claims).
I = Invalid HCPCS code (system generated on hard copy claims).
N = Invalid revenue code.
R = System generated under the following conditions: The claim is an EMC claim, the TOB is equal to ‘34x”, the revenue code is equal to ‘0636’, a HCPC code is present which is not a chemo, anti-emetic, influenza, or J0630 injection code, and the line item is not denied.
S = Systen generated under the following conditions: The claim is an EMC claim, the revenue code is equal to ‘0601-0604’ (oxygen), the revenue code is being billed for more than the allowable number of services, and the line item is not denied.
T  = Manually generated under the following conditions: The claim is not EMC, the revenue code is equal to ‘0601-0604’ (oxygen), the revenue code is being billed for more than the allowable number of services, and the line item is not denied.
Y or Spaces = Valid Revenue Code and/or HCPCS Code.
","FSSCIDRC

",0.12,,,,,
FISS,Revenue Code,REV-CD,fiss_revenue_lines.rev_cd,Claim processing,n/a,"This field identifies the payment code used for the specific service or item billed on a claim, and may be used to access data for the record, depending on the copybook it is used in.",,,,"4 characters, numeric

See Revenue Codes table",FSSCIDRC,0.12,,,,,
FISS,Total Units/Number of Service Billed,REV-UNITS-BILLED,fiss_revenue_lines.rev_units_billed,Billing information,n/a,This field identifies the total of units/number of services billed for each Healthcare Common Procedure Coding System (HCPCS) code and/or revenue code.,,,,"5 characters

None = Not Applicable",FSSCIDRC,0.12,,,,,
FISS,Total Units/Number of Service Billed,REV-SERV-UNIT-CNT,fiss_revenue_lines.rev_serv_unit_cnt,Billing information,n/a,This field identifies the total of units/number of services billed for each HCPCS code and/or revenue code.,,,,"5 characters

None = Not Applicable",FSSCIDRC,0.12,,,,,
FISS,Service Date – CYMD,SERV-DT-CYMD,fiss_revenue_lines.serv_dt_cymd,Claim information,n/a,"This is a group level field comprised of the service date elements (including century, year, month and day) for each line item",,,,"8 characters

Date

None = Not Applicable",FSSCIDRC,0.12,,,,,
FISS,Service Date – CYMD - Text,SERV-DT-CYMD-TEXT,fiss_revenue_lines.serv_dt_cymd_text,Claim information,n/a,This is an RDA added text field in which we pass FISS provided values in SERV_DT_CYMD_FIELD_NUMBER when they don't meet  the expected date format,,,,Varies as what the RDA passes here are exceptions to what was expected,N/A,0.12,,,,,
